frame,players,goalkeepers,referees,balls,preprocess_time_ms,inference_time_ms,postprocess_time_ms,total_time_ms
2,0,0,0,0,0.19049644470214844,4567.266225814819,3.8602352142333984,4571.317911148071
4,0,0,0,0,0.2338886260986328,1361.9625568389893,1.0941028594970703,1363.2924556732178
6,0,0,0,0,0.5037784576416016,1068.824291229248,0.3666877746582031,1069.6971416473389
8,0,0,0,0,0.22912025451660156,1069.4105625152588,0.34737586975097656,1069.9880123138428
10,0,0,0,0,0.2701282501220703,1123.8188743591309,0.4181861877441406,1124.5083808898926
12,0,0,0,0,0.33545494079589844,1113.4374141693115,0.39005279541015625,1114.1645908355713
14,0,0,0,0,0.26798248291015625,1113.8465404510498,0.42366981506347656,1114.539623260498
16,0,0,0,0,0.2503395080566406,982.5360774993896,0.3108978271484375,983.0982685089111
18,0,0,0,0,0.2415180206298828,982.0413589477539,0.3879070281982422,982.6714992523193
20,0,0,0,0,0.22101402282714844,996.9794750213623,0.30350685119628906,997.5049495697021
22,0,0,0,0,0.2694129943847656,1114.0170097351074,0.5142688751220703,1114.802598953247
24,0,0,0,0,0.28586387634277344,1027.8656482696533,0.3349781036376953,1028.4874439239502
26,16,0,1,1,0.2543926239013672,1062.3555183410645,20.317554473876953,1082.9291343688965
28,16,0,1,1,0.28634071350097656,959.2862129211426,4.069328308105469,963.6428356170654
30,16,0,1,1,0.21028518676757812,988.5523319244385,4.750728607177734,993.5145378112793
32,16,0,1,1,0.2410411834716797,981.5738201141357,4.121541976928711,985.9373569488525
34,16,0,1,1,0.2486705780029297,990.9603595733643,4.849433898925781,996.0594177246094
36,16,0,1,1,0.23865699768066406,1033.4999561309814,4.547834396362305,1038.2874011993408
38,16,0,1,1,0.20647048950195312,1039.7281646728516,4.405021667480469,1044.3406105041504
40,17,0,1,1,0.2048015594482422,1034.316062927246,4.554033279418945,1039.0756130218506
42,16,0,1,0,0.255584716796875,1064.6827220916748,4.735469818115234,1069.6749687194824
44,16,0,1,1,0.30612945556640625,1042.3142910003662,4.487514495849609,1047.1088886260986
46,16,0,1,0,0.19693374633789062,1037.529706954956,4.517555236816406,1042.2453880310059
48,16,0,1,0,0.3211498260498047,1002.7551651000977,4.802942276000977,1007.880687713623
50,17,0,1,0,0.2422332763671875,962.489128112793,4.14586067199707,966.8776988983154
52,18,0,1,0,0.2148151397705078,972.764253616333,4.438638687133789,977.4186611175537
54,19,0,1,0,0.2396106719970703,957.3049545288086,4.353046417236328,961.8988037109375
56,17,0,1,1,0.2117156982421875,971.8828201293945,4.470348358154297,976.5660762786865
58,18,0,1,1,0.232696533203125,965.057373046875,4.2057037353515625,969.496488571167
60,20,0,0,1,0.2593994140625,1017.0972347259521,4.4097900390625,1021.7671394348145
62,18,0,0,1,0.17833709716796875,943.5291290283203,4.106760025024414,947.8151798248291
64,18,0,0,1,0.09107589721679688,937.3300075531006,3.97491455078125,941.396951675415
66,16,0,0,1,0.20456314086914062,942.7790641784668,3.650665283203125,946.6352462768555
68,15,0,1,0,0.24747848510742188,967.5192832946777,3.6063194274902344,971.3740348815918
70,16,0,1,1,0.1888275146484375,948.3017921447754,3.870248794555664,952.362060546875
72,16,0,1,0,0.09131431579589844,1038.334846496582,4.12297248840332,1042.5498485565186
74,16,1,1,0,0.20313262939453125,973.9153385162354,4.498958587646484,978.6183834075928
76,16,1,1,0,0.22220611572265625,975.7962226867676,4.270792007446289,980.290412902832
78,16,1,1,2,0.26154518127441406,971.308708190918,4.322052001953125,975.893497467041
